"","year","party","national_two_party_vote_share","state","two_party_vote_share"
"813",1992,"Republican",46.5174129353234,"Washington",42.4082989274888
"814",1992,"Republican",46.5174129353234,"West Virginia",42.2311619180593
"815",1992,"Republican",46.5174129353234,"Wisconsin",47.2054914978846
"816",1992,"Republican",46.5174129353234,"Wyoming",53.7920234293966
"817",1988,"Democrat",46.1150353178608,"Alabama",40.2544316019111
"818",1988,"Democrat",46.1150353178608,"Alaska",37.8366825657466
"819",1988,"Democrat",46.1150353178608,"Arizona",39.2565084690075
"820",1988,"Democrat",46.1150353178608,"Arkansas",42.8083572868849
"821",1988,"Democrat",46.1150353178608,"California",48.1926894636241
"822",1988,"Democrat",46.1150353178608,"Colorado",46.0461756185029
"823",1988,"Democrat",46.1150353178608,"Connecticut",47.418849543567
"824",1988,"Democrat",46.1150353178608,"Delaware",43.7588104041307
"825",1988,"Democrat",46.1150353178608,"District Of Columbia",85.2457526056568
"826",1988,"Democrat",46.1150353178608,"Florida",38.7479283541484
"827",1988,"Democrat",46.1150353178608,"Georgia",39.7963836552397
"828",1988,"Democrat",46.1150353178608,"Hawaii",54.8062759801589
"829",1988,"Democrat",46.1150353178608,"Idaho",36.712177149367
"830",1988,"Democrat",46.1150353178608,"Illinois",48.9507230036411
"831",1988,"Democrat",46.1150353178608,"Indiana",39.874008875068
"832",1988,"Democrat",46.1150353178608,"Iowa",55.1484811400825
"833",1988,"Democrat",46.1150353178608,"Kansas",43.2724982978135
"834",1988,"Democrat",46.1150353178608,"Kentucky",44.1462321882115
"835",1988,"Democrat",46.1150353178608,"Louisiana",44.8087076760503
"836",1988,"Democrat",46.1150353178608,"Maine",44.2289812965317
"837",1988,"Democrat",46.1150353178608,"Maryland",48.535569768883
"838",1988,"Democrat",46.1150353178608,"Massachusetts",53.982588933187
"839",1988,"Democrat",46.1150353178608,"Michigan",46.0219500399449
"840",1988,"Democrat",46.1150353178608,"Minnesota",53.550859925244
"841",1988,"Democrat",46.1150353178608,"Mississippi",39.4789170448172
"842",1988,"Democrat",46.1150353178608,"Missouri",48.0030883190228
"843",1988,"Democrat",46.1150353178608,"Montana",47.0118102786157
"844",1988,"Democrat",46.1150353178608,"Nebraska",39.4459145058286
"845",1988,"Democrat",46.1150353178608,"Nevada",39.1814108354143
"846",1988,"Democrat",46.1150353178608,"New Hampshire",36.7663672728661
"847",1988,"Democrat",46.1150353178608,"New Jersey",43.0988423864648
"848",1988,"Democrat",46.1150353178608,"New Mexico",47.4900842595146
"849",1988,"Democrat",46.1150353178608,"New York",53.4220526391879
"850",1988,"Democrat",46.1150353178608,"North Carolina",41.84246213145
"851",1988,"Democrat",46.1150353178608,"North Dakota",43.4046442721323
"852",1988,"Democrat",46.1150353178608,"Ohio",44.5259353497493
"853",1988,"Democrat",46.1150353178608,"Oklahoma",41.6101877275583
"854",1988,"Democrat",46.1150353178608,"Oregon",52.383680797598
"855",1988,"Democrat",46.1150353178608,"Pennsylvania",48.8304530046623
"856",1988,"Democrat",46.1150353178608,"Rhode Island",55.8778705533106
"857",1988,"Democrat",46.1150353178608,"South Carolina",37.9278544355817
"858",1988,"Democrat",46.1150353178608,"South Dakota",46.8076211914141
"859",1988,"Democrat",46.1150353178608,"Tennessee",41.7813594980292
"860",1988,"Democrat",46.1150353178608,"Texas",43.6536670688627
"861",1988,"Democrat",46.1150353178608,"Utah",32.6121251680993
"862",1988,"Democrat",46.1150353178608,"Vermont",48.2182869232755
"863",1988,"Democrat",46.1150353178608,"Virginia",39.6410539424176
"864",1988,"Democrat",46.1150353178608,"Washington",50.8077117545858
"865",1988,"Democrat",46.1150353178608,"West Virginia",52.3768931976206
"866",1988,"Democrat",46.1150353178608,"Wisconsin",51.823466294561
"867",1988,"Democrat",46.1150353178608,"Wyoming",38.5751235774227
"868",1988,"Republican",53.8849646821393,"Alabama",59.7455683980889
"869",1988,"Republican",53.8849646821393,"Alaska",62.1633174342534
"870",1988,"Republican",53.8849646821393,"Arizona",60.7434915309925
"871",1988,"Republican",53.8849646821393,"Arkansas",57.1916427131151
"872",1988,"Republican",53.8849646821393,"California",51.8073105363759
"873",1988,"Republican",53.8849646821393,"Colorado",53.9538243814971
"874",1988,"Republican",53.8849646821393,"Connecticut",52.581150456433
"875",1988,"Republican",53.8849646821393,"Delaware",56.2411895958693
"876",1988,"Republican",53.8849646821393,"District Of Columbia",14.7542473943432
"877",1988,"Republican",53.8849646821393,"Florida",61.2520716458516
"878",1988,"Republican",53.8849646821393,"Georgia",60.2036163447603
"879",1988,"Republican",53.8849646821393,"Hawaii",45.1937240198411
"880",1988,"Republican",53.8849646821393,"Idaho",63.287822850633
"881",1988,"Republican",53.8849646821393,"Illinois",51.0492769963589
"882",1988,"Republican",53.8849646821393,"Indiana",60.125991124932
"883",1988,"Republican",53.8849646821393,"Iowa",44.8515188599175
"884",1988,"Republican",53.8849646821393,"Kansas",56.7275017021865
"885",1988,"Republican",53.8849646821393,"Kentucky",55.8537678117885
"886",1988,"Republican",53.8849646821393,"Louisiana",55.1912923239497
"887",1988,"Republican",53.8849646821393,"Maine",55.7710187034683
"888",1988,"Republican",53.8849646821393,"Maryland",51.464430231117
"889",1988,"Republican",53.8849646821393,"Massachusetts",46.017411066813
"890",1988,"Republican",53.8849646821393,"Michigan",53.9780499600551
"891",1988,"Republican",53.8849646821393,"Minnesota",46.449140074756
"892",1988,"Republican",53.8849646821393,"Mississippi",60.5210829551828
"893",1988,"Republican",53.8849646821393,"Missouri",51.9969116809772
"894",1988,"Republican",53.8849646821393,"Montana",52.9881897213843
"895",1988,"Republican",53.8849646821393,"Nebraska",60.5540854941714
"896",1988,"Republican",53.8849646821393,"Nevada",60.8185891645857
